mass (g),v1 (ft/s),x1 (m),v2 (ft/s),x2 (m)
1.2,278.5,0,224.7,10
1.2,258.5,0,217.5,10
1.2,280.8,0,200.4,10
1.2,278.2,0,202,10
1.2,284.1,0,208.9,10
1.2,284.1,0,199.1,10
1.2,277.2,0,211.6,10
1.2,278.2,0,213.5,10
1.2,271.6,0,211.6,10
1.2,274.9,0,225.3,10
1.2,283.1,0,208.9,10
1.2,280.5,0,205.7,10
1.2,284.1,0,216.8,10
1.2,277.2,0,225.3,10
1.2,286.4,0,221.7,10
1.2,280.5,0,199.1,10
1.2,277.2,0,218.1,10
1.2,283.1,0,215.5,10
1,297.5,0,215.5,10
1,301.5,0,228.3,10
1,298.8,0,223,10
1,297.9,0,227.6,10
1,307,0,233.9,10
1,302.8,0,236.2,10
1,302.8,0,228.3,10
1,301.5,0,221.1,10
1,306.7,0,220.4,10
1,302.8,0,229.3,10
1,304.1,0,232.9,10
1,309.7,0,237.2,10
1,309.7,0,243.7,10
1,297.5,0,226.7,10
1,304.1,0,232.9,10
1,302.8,0,228.3,10
1,307,0,229.9,10
1,307,0,226.7,10
0.9,308.3,0,235.5,10
0.9,322.8,0,228.3,10
0.9,315.2,0,212.9,10
0.9,316.9,0,223,10
0.9,316.9,0,224.7,10
0.9,319.8,0,211.6,10
0.9,316.9,0,216.8,10
0.9,308.3,0,210.3,10
0.9,316.9,0,226,10
0.9,316.9,0,211.6,10
0.9,316.9,0,224,10
0.9,312.3,0,220.4,10
0.9,316.9,0,223,10
0.9,316.9,0,218.8,10
0.9,319.8,0,228.3,10
0.9,315.2,0,211.6,10
0.9,315.2,0,213.5,10
0.9,315.2,0,232.2,10
1.2,248,0,176,10
1.2,248,0,182,10
1.2,254,0,183,10
1.2,255,0,193,10
1.2,255,0,182,10
1.2,261,0,187,10
1.2,263,0,174,10
1.2,259,0,171,10
1.2,264,0,177,10
1.2,255,0,193,10
1.2,256.2,0,181.8,10
1,270,0,195,10
1,281,0,178,10
1,272,0,195,10
1,270,0,185,10
1,269,0,193,10
1,271,0,198,10
1,277,0,172,10
1,273,0,184,10
1,268,0,194,10
1,269,0,183,10
1,272,0,187.7,10
